,count,mean,std,min,25%,50%,75%,max,missing_percent,unique_val,var_type
age,899.0,53.480533926585096,9.435893735264399,28.0,47.0,54.0,60.0,77.0,0.0,50,Continuous
sex,899.0,0.7908787541713015,0.4069075150665061,0.0,1.0,1.0,1.0,1.0,0.0,2,Categorical
painloc,617.0,0.9205834683954619,0.2706071514955741,0.0,1.0,1.0,1.0,1.0,0.3136818687430478,2,Categorical
painexer,617.0,0.593192868719611,0.4916368929347309,0.0,0.0,1.0,1.0,1.0,0.3136818687430478,2,Categorical
relrest,613.0,0.6721044045676998,0.4698299395402676,0.0,0.0,1.0,1.0,1.0,0.3181312569521691,2,Categorical
cp,899.0,3.253615127919911,0.9284993705475502,1.0,3.0,4.0,4.0,4.0,0.0,4,Continuous
trestbps,840.0,132.10119047619048,19.15112717314088,0.0,120.0,130.0,140.0,200.0,0.06562847608453838,60,Continuous
htn,865.0,0.47630057803468207,0.49972696462958865,0.0,0.0,0.0,1.0,1.0,0.03781979977753059,2,Categorical
chol,869.0,198.7594936708861,111.83441478228967,0.0,175.0,224.0,269.0,603.0,0.03337041156840934,213,Continuous
smoke,230.0,0.5173913043478261,0.5007873049657761,0.0,0.0,1.0,1.0,1.0,0.7441601779755284,2,Categorical
cigs,479.0,19.11899791231733,18.296272634041046,0.0,0.0,20.0,30.0,99.0,0.4671857619577308,25,Continuous
years,467.0,18.796573875803,16.35914481682246,0.0,0.0,20.0,30.0,60.0,0.48053392658509453,42,Continuous
fbs,809.0,0.1668726823238566,0.37309281999859806,0.0,0.0,0.0,0.0,1.0,0.10011123470522804,2,Categorical
dm,95.0,0.9578947368421052,0.2018947204943551,0.0,1.0,1.0,1.0,1.0,0.8943270300333704,2,Categorical
famhist,477.0,0.5639412997903563,0.4964152807890079,0.0,0.0,1.0,1.0,1.0,0.4694104560622914,2,Categorical
restecg,897.0,0.6031215161649944,0.8036685276933822,0.0,0.0,0.0,1.0,2.0,0.002224694104560623,3,Continuous
ekgmo,846.0,5.973995271867612,3.486479022104569,1.0,3.0,6.0,9.0,12.0,0.058954393770856504,12,Continuous
ekgday(day,845.0,15.493491124260355,8.761939329114846,1.0,8.0,16.0,23.0,31.0,0.060066740823136816,31,Continuous
ekgyr,846.0,84.05673758865248,1.6402036948637086,81.0,83.0,84.0,85.0,87.0,0.058954393770856504,7,Continuous
dig,831.0,0.03489771359807461,0.18363126458235796,0.0,0.0,0.0,0.0,1.0,0.07563959955506118,2,Categorical
prop,833.0,0.28331332533013204,0.8709646337801457,0.0,0.0,0.0,1.0,22.0,0.07341490545050056,3,Continuous
nitr,834.0,0.26618705035971224,0.4422284434346659,0.0,0.0,0.0,1.0,1.0,0.07230255839822025,2,Categorical
pro,836.0,0.1722488038277512,0.37782258652017403,0.0,0.0,0.0,0.0,1.0,0.07007786429365963,2,Categorical
diuretic,817.0,0.11260709914320685,0.3163055478590305,0.0,0.0,0.0,0.0,1.0,0.09121245828698554,2,Categorical
proto,787.0,37.08132147395172,50.14455941539361,1.0,1.0,5.0,75.0,200.0,0.12458286985539488,14,Continuous
thaldur,843.0,8.655871886120996,3.7466173871640684,1.0,6.0,8.1,10.5,24.0,0.06229143492769744,86,Continuous
thaltime,446.0,5.690358744394619,3.9946730098073018,0.0,3.0,6.0,8.0,20.0,0.5038932146829811,64,Continuous
met,794.0,16.483123425692693,30.77280111709959,2.0,5.0,7.0,10.0,200.0,0.1167964404894327,34,Continuous
thalach,844.0,137.29857819905214,25.96595906190553,60.0,120.0,140.0,157.0,202.0,0.06117908787541713,119,Continuous
thalrest,843.0,75.48754448398577,14.727961482379794,37.0,65.0,74.0,84.0,139.0,0.06229143492769744,75,Continuous
tpeakbps,836.0,171.64114832535884,25.734488252651843,84.0,155.0,170.0,190.0,240.0,0.07007786429365963,74,Continuous
tpeakbpd,836.0,87.29306220095694,14.734585968583833,11.0,80.0,88.0,100.0,134.0,0.07007786429365963,51,Continuous
dummy,840.0,132.10119047619048,19.15112717314088,0.0,120.0,130.0,140.0,200.0,0.06562847608453838,60,Continuous
trestbpd,840.0,83.52380952380952,10.252562911627576,0.0,80.0,80.0,90.0,120.0,0.06562847608453838,34,Continuous
exang,844.0,0.3909952606635071,0.48826266677756114,0.0,0.0,0.0,1.0,1.0,0.06117908787541713,2,Categorical
xhypo,841.0,0.026159334126040427,0.1597039472677155,0.0,0.0,0.0,0.0,1.0,0.06451612903225806,2,Categorical
oldpeak,837.0,0.8704898446833931,1.0805484935191452,-2.6,0.0,0.5,1.5,6.2,0.06896551724137931,52,Continuous
slope,591.0,1.766497461928934,0.621338972070711,0.0,1.0,2.0,2.0,3.0,0.3426028921023359,4,Continuous
rldv5,474.0,14.39873417721519,5.702942239874547,2.0,10.0,14.0,18.0,36.0,0.4727474972191324,31,Continuous
rldv5e,757.0,54.91413474240423,60.30942500463109,2.0,12.0,19.0,102.0,270.0,0.15795328142380421,141,Continuous
ca,291.0,0.697594501718213,1.0527276822308693,0.0,0.0,0.0,1.0,9.0,0.6763070077864294,5,Continuous
exerckm,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.9988876529477196,1,Categorical
restef,28.0,0.5310714285714285,0.14619467705044395,0.22,0.4075,0.5700000000000001,0.625,0.8,0.9688542825361512,24,Continuous
restwm,30.0,1.0333333333333334,1.0661996103898193,0.0,0.0,1.0,2.0,3.0,0.9666295884315906,4,Continuous
exeref,2.0,0.55,0.07071067811865474,0.5,0.525,0.55,0.575,0.6,0.9977753058954394,2,Categorical
exerwm,5.0,0.2,0.44721359549995804,0.0,0.0,0.0,0.0,1.0,0.9944382647385984,2,Categorical
thal,422.0,5.018957345971564,1.949388320673859,1.0,3.0,6.0,7.0,7.0,0.5305895439377085,7,Continuous
thalsev,130.0,1.2846153846153847,0.9583142125597621,0.0,0.0,1.0,2.0,3.0,0.8553948832035595,4,Continuous
thalpul,44.0,0.29545454545454547,0.46152152080364,0.0,0.0,0.0,1.0,1.0,0.9510567296996663,2,Categorical
earlobe,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.9988876529477196,1,Categorical
cmo,888.0,6.122747747747748,3.4741143738560325,1.0,3.0,6.0,9.0,12.0,0.012235817575083427,12,Continuous
cday,890.0,15.98876404494382,8.860872373141595,1.0,8.0,16.0,23.75,31.0,0.010011123470522803,31,Continuous
cyr,890.0,83.83932584269662,4.4075331253902394,1.0,83.0,84.0,85.0,87.0,0.010011123470522803,11,Continuous
target,899.0,0.5506117908787542,0.4977087406819822,0.0,0.0,1.0,1.0,1.0,0.0,2,Categorical
